100	13853	8390	539296	468250	204478	17092	918	624	53562	39840	277451	14350	2457	680	196602	108780	244766	11505	4385	856	116319	85810	227936	11500	counter	n	B1 Add	B1 Find	B1 Balance Per City	B1 Count Per City	B1 Total Count Per Range	B1 Count Per Range Sorted	B2 Add	B2 Find	B2 Balance Per City	B2 Count Per City	B2 Total Count Per Range	B2 Count Per Range Sorted	B3 Add	B3 Find	B3 Balance Per City	B3 Count Per City	B3 Total Count Per Range	B3 Count Per Range Sorted	B4 Add	B4 Find	B4 Balance Per City	B4 Count Per City	B4 Total Count Per Range	B4 Count Per Range Sorted
100	6844	5801	46418	215432	78272	16574	1304	467	29301	22797	101342	12216	2645	572	129494	63306	67763	11673	5976	1024	237143	30558	55159	10691	0	100	961.94	674.78	61666.94	62248.12	9502.04	1322.62	365.44	161.02	7509.68	6470.84	25839.6	1132.48	460.86	152.2	35962.94	28180.86	29590.52	1153.34	1469.7	235.88	26458.54	21431.02	12673.3	1455.96
100	2372	1114	47462	49506	110272	3273	1530	654	20468	18544	90838	1690	780	319	34008	25981	80640	3219	1086	397	42029	40102	119647	3333	1	150	194.04	143.92	101088.62	104468.94	2308.3	325.9	155.4	62.36	6586.96	5931.56	20630.48	323.04	168.44	77.12	27368.62	24646.9	26215.16	317.78	349.28	118.58	29497	29005.14	7086.96	326.6
100	2089	1742	83813	50523	1585	1583	613	383	15301	10012	59025	1608	1208	312	54325	80756	19799	1579	595	249	19774	18000	5231	1732	2	200	175.7	149.58	168339.16	173901.18	2886	303.62	104.96	20.6	8394.18	8048.44	34981.98	303.14	100.56	21.02	27879.34	27880.8	32188.34	306.24	289.5	93.6	42948.6	41555.18	9861.48	300.02
100	1208	998	43612	44765	1594	1624	327	120	9375	8456	16013	1519	247	163	25345	29067	19839	1541	469	184	18663	17495	4117	13837	3	250	199.26	180.8	255771.62	264346.92	3591.46	318.4	86.76	20.22	9986.96	9639.34	43733.08	307.94	104	22.74	32059.44	31535.2	38185.08	308.04	289.58	91.68	64221.04	63929.26	13393.96	311.7
100	1325	1038	44833	48824	1611	1471	299	321	9731	8710	15096	1535	341	121	25781	27824	19891	1665	478	179	21016	17654	4382	1693	4	300	223.94	207.58	372288.98	394159.2	4442	331.72	85.14	22.36	12841.1	12315.52	54800.36	326.98	106.7	23.28	38458.04	36799.74	47702.82	326.5	311.1	97.88	94079.68	91670.48	17879.18	313.58
100	1315	1013	41891	50872	2080	2321	401	228	11392	8865	16089	1874	299	112	31611	47262	27031	1772	554	242	25251	22697	5971	1688	5	350	252.62	235.72	524464.46	536560.26	4982.18	328.34	77.32	21.62	16875.22	13808.32	60742.94	319.64	96.42	21.94	42054.48	40203.38	53752.54	327.14	314.52	99.4	120199.68	116788.8	21778.08	321.92
100	1235	1014	45434	52335	1657	2137	407	121	12908	11254	15228	1579	1298	114	89194	52980	21646	1578	532	186	27124	22353	5759	1583	6	400	278.86	263.96	713257.94	738926.52	5978.18	357.74	112.7	27.12	18578.28	18070.96	92859.7	364.1	109.08	72.68	47464.78	44791.54	63819.64	333.62	327.84	107.46	142647.78	143255.6	27484.4	328.98
100	1241	1038	52150	47689	1681	1406	402	173	16459	11452	15297	1597	859	110	84979	76107	35158	1607	611	231	29946	26261	5600	1407	7	450	295.76	290.36	898834.62	926478	6476.84	338.92	91.56	24.84	19801.4	19384.26	100632.88	324.34	85.52	26.8	50960.74	48234.5	70537.5	332.12	333.94	108.66	168581.6	165681.2	31024.7	335.48
100	1264	1038	47275	50720	1674	1552	434	259	14292	6258	14794	1507	649	110	124661	49004	34781	2595	642	278	23860	31282	6914	2744	8	500	320.4	318.18	1137399.42	1169410.94	7259.64	342.36	100.1	19.56	24293.66	23912.6	114220.2	332.98	78.48	22.02	55784.36	52339.2	79047.84	331.26	323.46	106.76	195420.88	194861.2	36492.14	339.62
100	2188	1410	56077	56226	3965	2969	500	229	8530	7757	28697	2750	1031	200	48400	35812	33612	2525	885	305	48143	39463	5169	2260	9	550	340.26	336.26	1386342.6	1424685.84	7884.08	343.24	78.98	19.34	24138.66	23836.06	125464.6	338.16	75.96	22.82	60476.7	56433.68	88157.32	354.4	339.82	109.4	222473.02	217476.2	40728.4	343.52
100	1848	1465	58784	42917	1646	1636	310	124	3964	3869	15128	1858	602	112	26947	20064	40224	2657	700	289	42991	41834	7949	3213	10	600	379.16	373.62	1649988.26	1701497.58	8625.54	353.32	77.02	19.88	26319.64	27268.08	140317.24	346.72	78.06	22.2	65159.98	59931.62	95716.34	342.66	341.22	109.18	247850.34	245068.12	45560.92	354.06
100	2235	1900	96061	89469	1565	301	305	121	11260	11169	28782	615	774	199	33684	31735	33046	485	702	248	27425	33134	8245	2845	11	650	383.9	393.96	1946229.7	2020836.66	9215.92	344.92	74.48	20.48	33307.74	31168.88	152134.44	350.84	75.82	22.84	72131.62	63705.8	105467.68	342.08	341.96	111.38	274586.04	266310.04	49745.18	345.32
100	434	253	79392	47775	1750	374	609	158	4109	3948	15011	308	763	310	17944	18788	19948	337	588	223	18648	16274	4473	318	12	700	408.46	422.08	2299325.86	2331706.02	9978.18	347.62	73.28	20.44	35117.82	33600.94	162199.72	352.6	77.24	22.54	75105.86	67740.1	110956.78	358.76	358.72	115.32	302573.84	294218.6	53234.68	352.44
100	335	206	47353	47394	1583	320	365	151	3971	3914	18227	355	275	109	18296	62564	19672	308	468	182	15594	15019	5516	558	13	750	429.9	444.9	2610133.76	2670152.32	10916.18	356.2	70.32	43.4	44316.78	42188.7	173406.18	357.3	99.68	23.6	79721.02	71364.82	118697.18	345.02	352.52	115.04	329860.94	322530.44	57212.4	347.64
100	399	256	95422	79212	1598	296	283	232	4154	3952	16464	292	270	105	18122	19370	19603	291	477	182	16514	15899	6514	613	14	800	456.52	469.6	3012833.44	3075527.02	11880.64	367.16	103.34	18.52	59055.88	56819.08	218142.1	353.88	74.34	21.18	83030.32	74938.04	128005.64	359.3	365.2	117.02	361341.78	350500.86	62312.02	358.18
100	401	239	45087	44653	1619	344	373	365	4022	3838	14766	322	268	106	17610	19520	19792	330	463	181	16641	16195	4551	323	15	850	493.64	507.38	3395256.68	3452490	13258.74	382.34	89.26	18.28	61928.52	59645.78	229752.26	363.68	72.6	21.7	89095.52	81301.04	137039.7	354.62	356.6	117.14	387573.28	377099.78	67072.66	365.38
